,quat1,quat2,quat3,quat4,acc1,acc2,acc3,gyro1,gyro2,gyro3
5.042715072631836,-0.74993896484375,0.1937255859375,0.5579833984375,0.2977294921875,0.9501953125,0.0283203125,0.30615234375,4.625,-1.5,3.5
5.043967962265015,-0.75152587890625,0.19354248046875,0.5560302734375,0.29754638671875,1.22314453125,0.09619140625,0.6376953125,-0.375,-2.9375,8.125
5.045165061950684,-0.75238037109375,0.194091796875,0.55487060546875,0.29718017578125,1.3828125,0.12646484375,0.5791015625,-3.5625,-2.4375,10.8125
5.046363115310669,-0.75286865234375,0.19482421875,0.5546875,0.29595947265625,0.68017578125,-0.05029296875,0.2763671875,2.75,-4.0,3.3125
5.04792594909668,-0.7552490234375,0.19482421875,0.5496826171875,0.2991943359375,1.5556640625,0.1806640625,1.02685546875,-17.5625,-1.4375,4.3125
5.049282073974609,-0.75140380859375,0.20074462890625,0.5543212890625,0.29632568359375,0.64111328125,-0.18359375,-0.42822265625,-10.125,-3.9375,5.6875
5.050753116607666,-0.75048828125,0.2022705078125,0.5557861328125,0.294921875,0.50390625,-0.0947265625,0.00830078125,1.5,-3.375,0.75
5.052114248275757,-0.75439453125,0.19769287109375,0.55010986328125,0.29864501953125,1.47265625,0.25341796875,1.21240234375,-0.625,-0.1875,-3.5625
5.05358624458313,-0.7530517578125,0.19647216796875,0.5523681640625,0.298583984375,1.2724609375,0.13525390625,0.30908203125,5.8125,-4.5625,-2.3125
5.055016040802002,-0.74847412109375,0.198486328125,0.56024169921875,0.294189453125,0.38671875,-0.10400390625,-0.6201171875,13.8125,-8.1875,0.8125
5.05635929107666,-0.74981689453125,0.19732666015625,0.5587158203125,0.2943115234375,0.7958984375,0.009765625,0.5439453125,4.6875,-7.0625,-1.5
5.057621002197266,-0.748779296875,0.1978759765625,0.5595703125,0.2950439453125,1.29541015625,0.0771484375,0.41162109375,-5.0,-7.6875,-1.8125
5.058867931365967,-0.74847412109375,0.19647216796875,0.56048583984375,0.29498291015625,0.970703125,0.03173828125,0.3359375,7.4375,-5.125,-6.125
5.060465097427368,-0.74798583984375,0.19512939453125,0.56158447265625,0.29498291015625,0.955078125,0.0478515625,0.27978515625,7.125,-3.3125,-6.0
5.061777114868164,-0.74755859375,0.1942138671875,0.56243896484375,0.29510498046875,0.97119140625,0.07080078125,0.294921875,3.8125,-3.0625,-3.3125
5.063029050827026,-0.747802734375,0.19354248046875,0.5623779296875,0.29510498046875,0.962890625,0.033203125,0.322265625,3.125,0.125,-2.125
5.064157009124756,-0.74774169921875,0.1934814453125,0.562744140625,0.29449462890625,0.91748046875,0.0,0.28515625,3.75,-2.8125,-1.0625
5.065251111984253,-0.74713134765625,0.193603515625,0.56378173828125,0.29400634765625,0.951171875,0.03515625,0.265625,1.875,-5.6875,-0.125
5.066469192504883,-0.74652099609375,0.1929931640625,0.56451416015625,0.29449462890625,0.98779296875,0.072265625,0.2744140625,1.25,-2.0625,-4.1875
5.067653179168701,-0.7464599609375,0.19171142578125,0.56439208984375,0.2957763671875,0.97705078125,0.05908203125,0.31396484375,0.75,2.5625,-8.6875
5.068913221359253,-0.74688720703125,0.1904296875,0.56365966796875,0.296875,0.93701171875,0.05908203125,0.3447265625,1.3125,3.9375,-6.875
5.070019006729126,-0.7470703125,0.19012451171875,0.56390380859375,0.2962646484375,0.91162109375,0.005859375,0.30078125,4.5,-2.1875,-1.125
5.071271896362305,-0.7469482421875,0.1900634765625,0.56500244140625,0.29443359375,0.9443359375,-0.00390625,0.27392578125,9.0625,-6.0,2.625
5.072534084320068,-0.74658203125,0.190185546875,0.5657958984375,0.293701171875,0.96240234375,0.041015625,0.26318359375,2.8125,-4.0625,1.625
5.073738098144531,-0.74603271484375,0.19097900390625,0.56597900390625,0.29425048828125,0.9609375,0.068359375,0.29296875,-5.8125,-3.75,0.1875
5.07441520690918,-0.74530029296875,0.19317626953125,0.56561279296875,0.29541015625,0.9501953125,0.0419921875,0.31005859375,-14.625,-5.25,1.1875
5.075360059738159,-0.74462890625,0.1954345703125,0.565185546875,0.29638671875,0.953125,0.02001953125,0.33154296875,-13.5625,-6.3125,0.75
5.076852083206177,-0.74407958984375,0.19696044921875,0.56524658203125,0.29681396484375,0.958984375,0.01416015625,0.31103515625,-7.6875,-5.875,0.1875
5.078290939331055,-0.74383544921875,0.19781494140625,0.5653076171875,0.296630859375,0.958984375,0.00146484375,0.310546875,-2.375,-4.8125,0.25
5.079463958740234,-0.74371337890625,0.1983642578125,0.5655517578125,0.29608154296875,0.96337890625,0.0107421875,0.2939453125,0.125,-3.625,1.6875
5.082146167755127,-0.7435302734375,0.19854736328125,0.56610107421875,0.29534912109375,0.970703125,0.03857421875,0.2724609375,2.4375,-3.375,2.75
5.084205150604248,-0.74359130859375,0.1986083984375,0.5662841796875,0.294921875,1.00439453125,0.0537109375,0.27880859375,1.0,-0.4375,2.625
5.085352897644043,-0.74407958984375,0.1988525390625,0.5655517578125,0.29486083984375,0.97998046875,0.0400390625,0.2880859375,-1.75,4.1875,2.875
5.086334943771362,-0.74493408203125,0.1982421875,0.5645751953125,0.29498291015625,0.97119140625,0.04931640625,0.29833984375,1.375,7.375,0.625
5.087445974349976,-0.74615478515625,0.19677734375,0.56317138671875,0.2955322265625,0.97802734375,0.0546875,0.3056640625,3.4375,12.0,-2.375
5.088219165802002,-0.74749755859375,0.1954345703125,0.56146240234375,0.2962646484375,0.94091796875,0.041015625,0.30419921875,2.0,13.75,-3.1875
5.088989019393921,-0.74847412109375,0.1947021484375,0.55987548828125,0.29730224609375,0.9287109375,0.05908203125,0.2841796875,-2.3125,12.8125,-2.0625
5.089694976806641,-0.74908447265625,0.19488525390625,0.5584716796875,0.29840087890625,0.931640625,0.041015625,0.2900390625,-6.125,9.0,-1.8125
5.090364933013916,-0.74908447265625,0.19659423828125,0.5572509765625,0.29937744140625,0.93408203125,-0.00732421875,0.2978515625,-11.375,3.125,-0.25
5.091046094894409,-0.748779296875,0.1990966796875,0.5562744140625,0.30035400390625,0.9609375,-0.00390625,0.29248046875,-15.375,0.75,1.8125
5.091735124588013,-0.74822998046875,0.2010498046875,0.5556640625,0.30157470703125,0.96533203125,0.0185546875,0.328125,-13.5,-2.625,-0.625
5.0925681591033936,-0.7470703125,0.20355224609375,0.5555419921875,0.302978515625,0.96142578125,0.02392578125,0.29443359375,-16.4375,-5.5,-0.4375
5.09340500831604,-0.7454833984375,0.20623779296875,0.555908203125,0.3043212890625,0.96533203125,0.06396484375,0.29443359375,-17.8125,-9.3125,1.625
5.094057083129883,-0.743408203125,0.208984375,0.557373046875,0.3048095703125,0.955078125,0.06591796875,0.24365234375,-14.25,-13.9375,3.8125
5.0947582721710205,-0.741455078125,0.2117919921875,0.55902099609375,0.3046875,0.9521484375,0.05712890625,0.2763671875,-11.6875,-18.0625,6.1875
5.0954270362854,-0.73992919921875,0.21197509765625,0.56097412109375,0.3046875,0.9677734375,0.06396484375,0.36083984375,0.1875,-18.75,-2.125
5.096088171005249,-0.739501953125,0.20782470703125,0.562744140625,0.3052978515625,1.0087890625,0.09033203125,0.41455078125,17.5,-9.125,-15.3125
5.096963167190552,-0.740478515625,0.197998046875,0.56439208984375,0.3065185546875,1.03662109375,0.140625,0.4189453125,40.375,7.25,-31.6875
5.097585916519165,-0.74102783203125,0.18792724609375,0.56591796875,0.3087158203125,1.00927734375,0.1787109375,0.33544921875,36.875,13.1875,-35.5
5.098568916320801,-0.74066162109375,0.1815185546875,0.56695556640625,0.3115234375,1.00634765625,0.1884765625,0.3046875,17.625,9.0,-27.9375
5.099560022354126,-0.73968505859375,0.1788330078125,0.566650390625,0.31591796875,0.9912109375,0.10009765625,0.30029296875,-4.625,7.8125,-28.5625
5.1005260944366455,-0.73797607421875,0.1800537109375,0.5662841796875,0.31988525390625,0.97705078125,-0.0517578125,0.1552734375,-18.4375,7.8125,-26.0
5.101176023483276,-0.73822021484375,0.18243408203125,0.56622314453125,0.3179931640625,0.97998046875,-0.20263671875,0.1455078125,1.375,5.0,-3.25
5.1021728515625,-0.739990234375,0.17950439453125,0.56732177734375,0.31353759765625,0.884765625,-0.01220703125,0.23779296875,32.375,3.9375,5.0
5.103119134902954,-0.74151611328125,0.1761474609375,0.5682373046875,0.310302734375,0.8662109375,0.16650390625,0.26123046875,26.1875,4.0,10.0625
5.10375714302063,-0.74224853515625,0.17608642578125,0.56793212890625,0.30914306640625,0.912109375,0.19287109375,0.26416015625,1.75,3.6875,13.3125
5.104673147201538,-0.74273681640625,0.177978515625,0.56646728515625,0.30950927734375,0.9443359375,0.13623046875,0.27197265625,-12.5625,6.125,10.5625
5.105618953704834,-0.74322509765625,0.180419921875,0.56427001953125,0.31085205078125,0.95068359375,0.11572265625,0.29541015625,-18.75,8.0625,7.0625
5.10627818107605,-0.7440185546875,0.1827392578125,0.56219482421875,0.31146240234375,0.9462890625,0.08837890625,0.30859375,-14.9375,7.3125,9.5
5.1072282791137695,-0.7447509765625,0.18438720703125,0.56103515625,0.31072998046875,0.9599609375,0.09228515625,0.31201171875,-6.3125,3.3125,11.9375
5.107913017272949,-0.74560546875,0.1844482421875,0.56097412109375,0.308837890625,0.9521484375,0.08251953125,0.31982421875,6.25,-0.4375,10.5625
5.108625173568726,-0.7469482421875,0.18255615234375,0.56158447265625,0.3055419921875,0.94140625,0.04248046875,0.3408203125,22.125,-1.4375,7.9375
5.1093590259552,-0.74835205078125,0.1798095703125,0.56280517578125,0.3013916015625,0.95361328125,0.0458984375,0.341796875,29.3125,-2.875,8.4375
5.1102399826049805,-0.749755859375,0.1768798828125,0.564697265625,0.29608154296875,0.955078125,0.08154296875,0.31201171875,34.125,-4.625,14.5
5.111222982406616,-0.75042724609375,0.17437744140625,0.56732177734375,0.29083251953125,0.95361328125,0.0966796875,0.29052734375,32.25,-9.9375,14.75
5.1123011112213135,-0.75048828125,0.17242431640625,0.57049560546875,0.28546142578125,0.9638671875,0.080078125,0.28662109375,30.875,-15.3125,14.5625
5.1136510372161865,-0.750244140625,0.17108154296875,0.5728759765625,0.28228759765625,0.96484375,0.10498046875,0.2802734375,18.9375,-11.5,8.8125
5.1147520542144775,-0.74993896484375,0.16912841796875,0.57476806640625,0.280517578125,0.9697265625,0.12939453125,0.3076171875,16.0,-9.125,2.9375
5.115675210952759,-0.7491455078125,0.166748046875,0.576904296875,0.2794189453125,0.97265625,0.1474609375,0.2724609375,14.75,-8.5,-1.625
5.116541862487793,-0.74774169921875,0.16546630859375,0.579345703125,0.279052734375,0.96142578125,0.1337890625,0.22900390625,8.125,-10.4375,-3.375
5.117228031158447,-0.7467041015625,0.16522216796875,0.58050537109375,0.27960205078125,0.98291015625,0.09716796875,0.26708984375,-0.625,-6.8125,-4.625
5.1178879737854,-0.74664306640625,0.1641845703125,0.58056640625,0.28021240234375,0.96240234375,0.07275390625,0.3056640625,2.8125,-0.375,-6.8125
5.118823289871216,-0.74725341796875,0.16253662109375,0.58026123046875,0.280029296875,0.90771484375,0.0576171875,0.32421875,8.375,1.4375,-4.9375
5.119988918304443,-0.7481689453125,0.1611328125,0.5802001953125,0.27862548828125,0.880859375,0.0322265625,0.31982421875,12.875,-0.25,-0.125
5.120877027511597,-0.74896240234375,0.159912109375,0.58050537109375,0.27642822265625,0.896484375,0.0205078125,0.291015625,14.75,-1.3125,2.6875
5.121963024139404,-0.74932861328125,0.1590576171875,0.5809326171875,0.2750244140625,0.9287109375,0.06982421875,0.267578125,9.8125,-0.6875,2.625
5.122725248336792,-0.74969482421875,0.15838623046875,0.5809326171875,0.27447509765625,0.92822265625,0.0927734375,0.27197265625,4.5,1.25,1.6875
5.123496055603027,-0.74993896484375,0.15887451171875,0.58062744140625,0.274169921875,0.93115234375,0.0849609375,0.25634765625,-1.3125,1.8125,4.125
5.124125957489014,-0.75030517578125,0.159912109375,0.580322265625,0.273193359375,0.9638671875,0.07666015625,0.26220703125,-1.5625,0.9375,8.25
5.1248838901519775,-0.750732421875,0.16064453125,0.58026123046875,0.2718505859375,0.990234375,0.083984375,0.2431640625,1.0625,2.0625,9.375
5.125899076461792,-0.75128173828125,0.1605224609375,0.58001708984375,0.27093505859375,0.98876953125,0.12548828125,0.2392578125,2.5625,5.125,8.125
5.126864194869995,-0.75177001953125,0.1605224609375,0.57965087890625,0.2703857421875,0.9794921875,0.14013671875,0.25,0.125,4.8125,7.9375
5.127601861953735,-0.75244140625,0.16168212890625,0.57904052734375,0.26910400390625,0.98828125,0.08056640625,0.2744140625,-1.1875,2.6875,11.375
5.128225088119507,-0.75299072265625,0.1639404296875,0.5784912109375,0.26727294921875,1.0244140625,0.0244140625,0.25927734375,-3.4375,1.4375,13.875
